BuildingIndex,Year,Month,Day,Hour,tou
1,2019,2,19,0,63.1
1,2019,2,19,1,63.1
1,2019,2,19,2,63.1
1,2019,2,19,3,63.1
1,2019,2,19,4,63.1
1,2019,2,19,5,63.1
1,2019,2,19,6,63.1
1,2019,2,19,7,63.1
1,2019,2,19,8,63.1
1,2019,2,19,9,109.2
1,2019,2,19,10,166.7
1,2019,2,19,11,166.7
1,2019,2,19,12,109.2
1,2019,2,19,13,109.2
1,2019,2,19,14,109.2
1,2019,2,19,15,109.2
1,2019,2,19,16,109.2
1,2019,2,19,17,166.7
1,2019,2,19,18,166.7
1,2019,2,19,19,166.7
1,2019,2,19,20,109.2
1,2019,2,19,21,109.2
1,2019,2,19,22,166.7
1,2019,2,19,23,63.1
1,2019,2,19,0,0
1,2019,2,19,1,0
1,2019,2,19,2,0
1,2019,2,19,3,0
1,2019,2,19,4,0
1,2019,2,19,5,0
1,2019,2,19,6,0
1,2019,2,19,7,0
1,2019,2,19,8,0
1,2019,2,19,9,0
1,2019,2,19,10,0
1,2019,2,19,11,0
1,2019,2,19,12,0
1,2019,2,19,13,0
1,2019,2,19,14,0
1,2019,2,19,15,0
1,2019,2,19,16,0
1,2019,2,19,17,0
1,2019,2,19,18,0
1,2019,2,19,19,0
1,2019,2,19,20,0
1,2019,2,19,21,0
1,2019,2,19,22,0
1,2019,2,19,23,0
